wav_path,loudness,sharpness,roughness,wav_name,wav_no,wav_sub_no,wav_group_name
data/wav-splits/2.新宿駅JR中央線東京行きプラットホーム.mono.4.wav,14.408463192844517,1.2152302338419536,0.03297973703391104,2.新宿駅JR中央線東京行きプラットホーム.mono.4.wav,2,4,新宿駅JR中央線東京行きプラ
data/wav-splits/2.新宿駅JR中央線東京行きプラットホーム.mono.5.wav,11.954154044814155,1.1535395590151358,0.028599918930117114,2.新宿駅JR中央線東京行きプラットホーム.mono.5.wav,2,5,新宿駅JR中央線東京行きプラ
data/wav-splits/3.夜行バス清水.mono.0.wav,10.096507916312362,0.5456599855782177,0.0637776871105956,3.夜行バス清水.mono.0.wav,3,0,夜行バス清水
data/wav-splits/3.夜行バス清水.mono.1.wav,9.776855668561433,0.5851974942244894,0.07855032782064057,3.夜行バス清水.mono.1.wav,3,1,夜行バス清水
data/wav-splits/3.夜行バス清水.mono.2.wav,9.349147533162316,0.5935301764446445,0.07347156867543136,3.夜行バス清水.mono.2.wav,3,2,夜行バス清水
data/wav-splits/3.夜行バス清水.mono.3.wav,9.107443031764255,0.580828619457043,0.06726554028199577,3.夜行バス清水.mono.3.wav,3,3,夜行バス清水
data/wav-splits/3.夜行バス清水.mono.4.wav,8.76399045296479,0.6113216486354097,0.09060528296097736,3.夜行バス清水.mono.4.wav,3,4,夜行バス清水
data/wav-splits/3.夜行バス清水.mono.5.wav,9.179410239188664,0.5870464553310536,0.059342468997341226,3.夜行バス清水.mono.5.wav,3,5,夜行バス清水
data/wav-splits/4.大阪梅田.mono.0.wav,2.0494495379085045,1.0825530245886748,0.005015401495778822,4.大阪梅田.mono.0.wav,4,0,大阪梅田
data/wav-splits/4.大阪梅田.mono.1.wav,2.058637836339811,0.9845519923927979,0.0391980300247494,4.大阪梅田.mono.1.wav,4,1,大阪梅田
data/wav-splits/4.大阪梅田.mono.2.wav,2.4944599970285513,0.9751362311374177,0.015880573960466323,4.大阪梅田.mono.2.wav,4,2,大阪梅田
data/wav-splits/4.大阪梅田.mono.3.wav,4.02747138700026,0.9962605940770736,0.014614696726608983,4.大阪梅田.mono.3.wav,4,3,大阪梅田
data/wav-splits/4.大阪梅田.mono.4.wav,9.802128947303983,1.2039317782128784,0.020712895031600818,4.大阪梅田.mono.4.wav,4,4,大阪梅田
